site,datetime,variable,values
Archery,2019-10-06T14:00:00Z,orp,182.8951430651305
Archery,2019-10-06T14:00:00Z,ph,8.55774993541951
Archery,2019-10-06T14:00:00Z,turbidity,5.98544553760466
Archery,2019-10-06T14:15:00Z,depth_ft,3.282162129861684
Archery,2019-10-06T14:15:00Z,dissolved_oxygen_pct,101.30096238789383
Archery,2019-10-06T14:15:00Z,do_mg,10.547595341828497
Archery,2019-10-06T14:15:00Z,orp,181.4614162577195
Archery,2019-10-06T14:15:00Z,ph,8.59412166072557
Archery,2019-10-06T14:15:00Z,turbidity,5.476546867093373
Archery,2019-10-06T14:30:00Z,depth_ft,3.2740614517656534
Archery,2019-10-06T14:30:00Z,dissolved_oxygen_pct,102.03628625005146
Archery,2019-10-06T14:30:00Z,do_mg,10.589799050041853
Archery,2019-10-06T14:30:00Z,orp,180.40559086766766
Archery,2019-10-06T14:30:00Z,ph,8.627111373353346
Archery,2019-10-06T14:30:00Z,turbidity,4.35710654769998
Archery,2019-10-06T14:45:00Z,depth_ft,3.259958082369914
Archery,2019-10-06T14:45:00Z,dissolved_oxygen_pct,102.68350417331959
Archery,2019-10-06T14:45:00Z,do_mg,10.6269675121737
Archery,2019-10-06T14:45:00Z,orp,179.79406416257038
Archery,2019-10-06T14:45:00Z,ph,8.658847356569993
Archery,2019-10-06T14:45:00Z,turbidity,3.7793389325086193
Archery,2019-10-06T15:00:00Z,depth_ft,3.2439828861568687
Archery,2019-10-06T15:00:00Z,dissolved_oxygen_pct,103.27909042914244
Archery,2019-10-06T15:00:00Z,do_mg,10.661996273099874
Archery,2019-10-06T15:00:00Z,orp,179.36084907379126
Archery,2019-10-06T15:00:00Z,ph,8.690082679806222
Archery,2019-10-06T15:00:00Z,turbidity,3.8867497349218327
Archery,2019-10-06T15:15:00Z,depth_ft,3.230831257250042
Archery,2019-10-06T15:15:00Z,dissolved_oxygen_pct,103.70971794560911
Archery,2019-10-06T15:15:00Z,do_mg,10.682844619182832
Archery,2019-10-06T15:15:00Z,orp,178.6128065795267
Archery,2019-10-06T15:15:00Z,ph,8.71981516996508
Archery,2019-10-06T15:15:00Z,turbidity,4.173759642244716
Archery,2019-10-06T15:30:00Z,depth_ft,3.222567118056234
Archery,2019-10-06T15:30:00Z,dissolved_oxygen_pct,103.89148195566574
Archery,2019-10-06T15:30:00Z,do_mg,10.681622131699811
Archery,2019-10-06T15:30:00Z,orp,177.19530106429548
Archery,2019-10-06T15:30:00Z,ph,8.747112632721556
Archery,2019-10-06T15:30:00Z,turbidity,4.359310481979699
Archery,2019-10-06T15:45:00Z,depth_ft,3.218014387591085
Archery,2019-10-06T15:45:00Z,dissolved_oxygen_pct,103.84001978441184
Archery,2019-10-06T15:45:00Z,do_mg,10.6605436680883
Archery,2019-10-06T15:45:00Z,orp,175.16077680214693
Archery,2019-10-06T15:45:00Z,ph,8.77228662372841
Archery,2019-10-06T15:45:00Z,turbidity,4.571495908107984
Archery,2019-10-06T16:00:00Z,depth_ft,3.2144204689767033
Archery,2019-10-06T16:00:00Z,dissolved_oxygen_pct,103.60217857293014
Archery,2019-10-06T16:00:00Z,do_mg,10.624113455968875
Archery,2019-10-06T16:00:00Z,orp,172.95431136179147
Archery,2019-10-06T16:00:00Z,ph,8.796467263683615
Archery,2019-10-06T16:00:00Z,turbidity,5.004205134328618
Archery,2019-10-06T16:15:00Z,depth_ft,3.2094426956882485
Archery,2019-10-06T16:15:00Z,dissolved_oxygen_pct,103.2083770394267
Archery,2019-10-06T16:15:00Z,do_mg,10.574747252827173
Archery,2019-10-06T16:15:00Z,orp,171.11629237107005
Archery,2019-10-06T16:15:00Z,ph,8.819920756161004
Archery,2019-10-06T16:15:00Z,turbidity,5.630514881293989
Archery,2019-10-06T16:30:00Z,depth_ft,3.201772734556842
Archery,2019-10-06T16:30:00Z,dissolved_oxygen_pct,102.66731644303667
Archery,2019-10-06T16:30:00Z,do_mg,10.513128079416457
Archery,2019-10-06T16:30:00Z,orp,169.92645211924986
Archery,2019-10-06T16:30:00Z,ph,8.841147400822873
Archery,2019-10-06T16:30:00Z,turbidity,6.083393238134908
Archery,2019-10-06T16:45:00Z,depth_ft,3.190147689566238
Archery,2019-10-06T16:45:00Z,dissolved_oxygen_pct,101.9541020301219
Archery,2019-10-06T16:45:00Z,do_mg,10.437145728181726
Archery,2019-10-06T16:45:00Z,orp,169.33691211076524
Archery,2019-10-06T16:45:00Z,ph,8.857555765726332
Archery,2019-10-06T16:45:00Z,turbidity,5.882729596011368
Archery,2019-10-06T17:00:00Z,depth_ft,3.1731323564761227
Archery,2019-10-06T17:00:00Z,dissolved_oxygen_pct,101.01785579140532
Archery,2019-10-06T17:00:00Z,do_mg,10.342175606760854
Archery,2019-10-06T17:00:00Z,orp,169.21073026458217
Archery,2019-10-06T17:00:00Z,ph,8.867073201418613
Archery,2019-10-06T17:00:00Z,turbidity,5.1068177642390715
Archery,2019-10-06T17:15:00Z,depth_ft,3.1513674581994033
Archery,2019-10-06T17:15:00Z,dissolved_oxygen_pct,99.87456193005632
Archery,2019-10-06T17:15:00Z,do_mg,10.230350173849875
Archery,2019-10-06T17:15:00Z,orp,169.47521859260092
Archery,2019-10-06T17:15:00Z,ph,8.870050576653773
Archery,2019-10-06T17:15:00Z,turbidity,4.404782750234539
Archery,2019-10-06T17:30:00Z,depth_ft,3.1282815994161712
Archery,2019-10-06T17:30:00Z,dissolved_oxygen_pct,98.63827348110175
